"","StartDate","Trap_Year","Species","Freq","year"
"2498226","2019-04-15","FBG062019","Andrena cineraria",2,"2019"
"5381533","2021-04-15","SST012021","Andrena flavipes",2,"2021"
"6466063","2020-04-15","FBG042020","Andrena fulva",2,"2020"
"6474149","2021-04-15","FBG072021","Andrena fulva",2,"2021"
"6590470","2016-05-03","SIP052016","Andrena fulva",2,"2016"
"7992266","2019-04-30","GFH022019","Andrena haemorrhoa",2,"2019"
"8112855","2021-04-15","SST012021","Andrena haemorrhoa",2,"2021"
"8123322","2021-04-29","SST052021","Andrena haemorrhoa",2,"2021"
"8289819","2018-05-14","HAR052018","Andrena helvola",2,"2018"
"8328584","2016-05-03","SIP052016","Andrena helvola",2,"2016"
"8371624","2021-04-29","SST052021","Andrena helvola",2,"2021"
"10595875","2021-04-15","SST012021","Andrena minutula",2,"2021"
"11188796","2019-04-15","FBG062019","Andrena nigroaenea",2,"2019"
"11191887","2021-04-15","FBG072021","Andrena nigroaenea",2,"2021"
"11220192","2019-04-30","GFH022019","Andrena nigroaenea",2,"2019"
"11269443","2018-05-14","HAR052018","Andrena nigroaenea",2,"2018"
"11285378","2019-05-15","HAR112019","Andrena nigroaenea",2,"2019"
"11308208","2016-05-03","SIP052016","Andrena nigroaenea",2,"2016"
"11340781","2021-04-15","SST012021","Andrena nigroaenea",2,"2021"
"14745671","2018-05-14","HAR052018","Andrena scotica",2,"2018"
"15820684","2021-04-29","SST052021","Andrena strohmella",2,"2021"
"17399437","2021-04-15","FBG072021","Andrena ventralis",2,"2021"
"21736892","2016-05-03","SIP052016","Bombus hortorum",2,"2016"
"22613779","2021-04-15","FBG072021","Bombus lucorum",2,"2021"
"22720121","2018-08-27","HAR162018","Bombus lucorum",2,"2018"
"22762673","2021-04-15","SST012021","Bombus lucorum",2,"2021"
"23148940","2019-07-23","GFH062019","Bombus pascuorum",2,"2019"
"23216725","2018-08-27","HAR162018","Bombus pascuorum",2,"2018"
"24848497","2021-04-15","FBG072021","Bombus sylvarum",2,"2021"
"24868726","2018-08-15","FBG152018","Bombus sylvarum",2,"2018"
"25574388","2018-07-30","WAN162018","Bombus terrestris",2,"2018"
"27075129","2020-04-15","FBG042020","Colletes cunicularius",2,"2020"
"27080124","2019-04-15","FBG062019","Colletes cunicularius",2,"2019"
"27083215","2021-04-15","FBG072021","Colletes cunicularius",2,"2021"
"31821890","2021-07-22","FBG152021","Halictus scabiosae",2,"2021"
"33148805","2018-08-27","HAR162018","Halictus tumulorum",2,"2018"
"38750318","2019-04-15","FBG062019","Lasioglossum calceatum",2,"2019"
"38753409","2021-04-15","FBG072021","Lasioglossum calceatum",2,"2021"
"38773638","2018-08-15","FBG152018","Lasioglossum calceatum",2,"2018"
"38825736","2018-07-30","HAR032018","Lasioglossum calceatum",2,"2018"
"40736734","2019-04-15","FBG062019","Lasioglossum interruptum",2,"2019"
"41523288","2019-07-23","GFH062019","Lasioglossum lativentre",2,"2019"
"42229637","2021-04-15","FBG072021","Lasioglossum lineare",2,"2021"
"42832583","2018-08-27","HAR162018","Lasioglossum majus",2,"2018"
"42966457","2020-04-15","FBG042020","Lasioglossum malachurum",2,"2020"
"42971452","2019-04-15","FBG062019","Lasioglossum malachurum",2,"2019"
"42974543","2021-04-15","FBG072021","Lasioglossum malachurum",2,"2021"
"43719449","2021-04-15","FBG072021","Lasioglossum morio",2,"2021"
"43825791","2018-08-27","HAR162018","Lasioglossum morio",2,"2018"
"44464355","2021-04-15","FBG072021","Lasioglossum pallens",2,"2021"
"44957868","2019-04-15","FBG062019","Lasioglossum pauxillum",2,"2019"
"45044466","2021-08-17","HAR072021","Lasioglossum pauxillum",2,"2021"
"45190246","2018-07-30","WAN162018","Lasioglossum pauxillum",2,"2018"
"45229490","2018-08-15","FBG152018","Lasioglossum politum",2,"2018"
"45315603","2018-08-27","HAR162018","Lasioglossum politum",2,"2018"
"46060509","2018-08-27","HAR162018","Lasioglossum pygmaeum",2,"2018"
"48930700","2019-04-15","FBG062019","Lasioglossum xanthopus",2,"2019"
"49027282","2019-05-15","HAR112019","Lasioglossum xanthopus",2,"2019"
"59855988","2019-04-15","FBG062019","Nomada succincta",2,"2019"
"59936635","2018-05-14","HAR052018","Nomada succincta",2,"2018"
"60018440","2021-04-29","SST052021","Nomada succincta",2,"2021"
"61100589","2021-04-15","FBG072021","Osmia bicolor",2,"2021"
"61594102","2019-04-15","FBG062019","Osmia brevicornis",2,"2019"
"61597193","2021-04-15","FBG072021","Osmia brevicornis",2,"2021"
"70065647","2010-08-04","GFH022010","Sphecodes miniatus",2,"2010"
