SITE,TRAP,YEAR,farmland,permanent crop,field hedges,rivers,urban green area,grassland,deciduous forest,mixed forest,coniferous forest,natural and extensive grasslands,settlement area with high density,settlement area with low density,transport infrastructure,forest shrub transition area,habitat richness,habitat evenness,elevation_mean_400m,elevation_range_400m
FBG,FBG01,2010,0.755668813,0.055557688,0.001505437,0.001057375,0.011244625,0.055913875,0.027823,0,0.0012465,0,0,0.052114438,0.005551625,0.032316625,12,0.704740499,127.3265907,69.34042358
FBG,FBG02,2010,0.755668813,0.055557688,0.001505437,0.001057375,0.011244625,0.055913875,0.027823,0,0.0012465,0,0,0.052114438,0.005551625,0.032316625,12,0.704740499,127.3872253,55.51447296
FBG,FBG03,2010,0.755668813,0.055557688,0.001505437,0.001057375,0.011244625,0.055913875,0.027823,0,0.0012465,0,0,0.052114438,0.005551625,0.032316625,12,0.704740499,152.5561533,24.18829346
FBG,FBG04,2010,0.755668813,0.055557688,0.001505437,0.001057375,0.011244625,0.055913875,0.027823,0,0.0012465,0,0,0.052114438,0.005551625,0.032316625,12,0.704740499,156.8391061,26.67991638
FBG,FBG05,2010,0.755668813,0.055557688,0.001505437,0.001057375,0.011244625,0.055913875,0.027823,0,0.0012465,0,0,0.052114438,0.005551625,0.032316625,12,0.704740499,101.3552634,55.86750031
FBG,FBG06,2010,0.755668813,0.055557688,0.001505437,0.001057375,0.011244625,0.055913875,0.027823,0,0.0012465,0,0,0.052114438,0.005551625,0.032316625,12,0.704740499,133.9319337,79.23732758
FBG,FBG07,2010,0.755668813,0.055557688,0.001505437,0.001057375,0.011244625,0.055913875,0.027823,0,0.0012465,0,0,0.052114438,0.005551625,0.032316625,12,0.704740499,129.1878387,73.7300415
FBG,FBG08,2010,0.755668813,0.055557688,0.001505437,0.001057375,0.011244625,0.055913875,0.027823,0,0.0012465,0,0,0.052114438,0.005551625,0.032316625,12,0.704740499,128.7181636,70.73004913
FBG,FBG09,2010,0.755668813,0.055557688,0.001505437,0.001057375,0.011244625,0.055913875,0.027823,0,0.0012465,0,0,0.052114438,0.005551625,0.032316625,12,0.704740499,132.4294311,51.51886749
FBG,FBG10,2010,0.755668813,0.055557688,0.001505437,0.001057375,0.011244625,0.055913875,0.027823,0,0.0012465,0,0,0.052114438,0.005551625,0.032316625,12,0.704740499,106.8227935,64.30274963
FBG,FBG11,2010,0.755668813,0.055557688,0.001505437,0.001057375,0.011244625,0.055913875,0.027823,0,0.0012465,0,0,0.052114438,0.005551625,0.032316625,12,0.704740499,81.8932378,16.66817474
FBG,FBG12,2010,0.755668813,0.055557688,0.001505437,0.001057375,0.011244625,0.055913875,0.027823,0,0.0012465,0,0,0.052114438,0.005551625,0.032316625,12,0.704740499,81.07195693,39.73075867
FBG,FBG13,2010,0.755668813,0.055557688,0.001505437,0.001057375,0.011244625,0.055913875,0.027823,0,0.0012465,0,0,0.052114438,0.005551625,0.032316625,12,0.704740499,151.5381243,54.57845306
FBG,FBG14,2010,0.755668813,0.055557688,0.001505437,0.001057375,0.011244625,0.055913875,0.027823,0,0.0012465,0,0,0.052114438,0.005551625,0.032316625,12,0.704740499,110.1544754,48.83075714
FBG,FBG15,2010,0.755668813,0.055557688,0.001505437,0.001057375,0.011244625,0.055913875,0.027823,0,0.0012465,0,0,0.052114438,0.005551625,0.032316625,12,0.704740499,101.363463,30.02371979
