"","landscape","site","year","StartDate","EndDate","exposure","uniqueID","season","sample_ID","honey.bee.abund","mean.sampling.date"
"1","FBG","FBG01",2010,2010-05-02,2010-05-17,15,"FBG012010","spring","FBG012010_2010-05-02",0,129.5
"2","FBG","FBG02",2010,2010-05-02,2010-05-17,15,"FBG022010","spring","FBG022010_2010-05-02",1,129.5
"3","FBG","FBG03",2010,2010-05-02,2010-05-17,15,"FBG032010","spring","FBG032010_2010-05-02",0,129.5
"4","FBG","FBG04",2010,2010-05-02,2010-05-17,15,"FBG042010","spring","FBG042010_2010-05-02",0,129.5
"5","FBG","FBG05",2010,2010-05-02,2010-05-17,15,"FBG052010","spring","FBG052010_2010-05-02",0,129.5
"6","FBG","FBG06",2010,2010-05-02,2010-05-17,15,"FBG062010","spring","FBG062010_2010-05-02",0,129.5
"7","FBG","FBG07",2010,2010-05-02,2010-05-17,15,"FBG072010","spring","FBG072010_2010-05-02",0,129.5
"8","FBG","FBG08",2010,2010-05-02,2010-05-17,15,"FBG082010","spring","FBG082010_2010-05-02",1,129.5
"9","FBG","FBG09",2010,2010-05-02,2010-05-17,15,"FBG092010","spring","FBG092010_2010-05-02",0,129.5
"10","FBG","FBG10",2010,2010-05-02,2010-05-17,15,"FBG102010","spring","FBG102010_2010-05-02",0,129.5
"11","FBG","FBG11",2010,2010-05-02,2010-05-17,15,"FBG112010","spring","FBG112010_2010-05-02",2,129.5
"12","FBG","FBG12",2010,2010-05-02,2010-05-17,15,"FBG122010","spring","FBG122010_2010-05-02",0,129.5
"13","FBG","FBG13",2010,2010-05-02,2010-05-17,15,"FBG132010","spring","FBG132010_2010-05-02",0,129.5
"14","FBG","FBG14",2010,2010-05-02,2010-05-17,15,"FBG142010","spring","FBG142010_2010-05-02",0,129.5
"15","FBG","FBG15",2010,2010-05-02,2010-05-17,15,"FBG152010","spring","FBG152010_2010-05-02",0,129.5
"16","FBG","FBG16",2010,2010-05-02,2010-05-17,15,"FBG162010","spring","FBG162010_2010-05-02",0,129.5
"17","SST","SST01",2010,2010-05-02,2010-05-17,15,"SST012010","spring","SST012010_2010-05-02",0,129.5
"18","SST","SST02",2010,2010-05-02,2010-05-17,15,"SST022010","spring","SST022010_2010-05-02",0,129.5
"19","SST","SST03",2010,2010-05-02,2010-05-17,15,"SST032010","spring","SST032010_2010-05-02",0,129.5
"20","SST","SST04",2010,2010-05-02,2010-05-17,15,"SST042010","spring","SST042010_2010-05-02",0,129.5
"21","SST","SST05",2010,2010-05-02,2010-05-17,15,"SST052010","spring","SST052010_2010-05-02",0,129.5
"22","SST","SST06",2010,2010-05-02,2010-05-17,15,"SST062010","spring","SST062010_2010-05-02",0,129.5
"23","SST","SST07",2010,2010-05-02,2010-05-17,15,"SST072010","spring","SST072010_2010-05-02",0,129.5
"24","SST","SST08",2010,2010-05-02,2010-05-17,15,"SST082010","spring","SST082010_2010-05-02",0,129.5
"25","SST","SST09",2010,2010-05-02,2010-05-17,15,"SST092010","spring","SST092010_2010-05-02",0,129.5
"26","SST","SST10",2010,2010-05-02,2010-05-17,15,"SST102010","spring","SST102010_2010-05-02",0,129.5
"27","SST","SST11",2010,2010-05-02,2010-05-17,15,"SST112010","spring","SST112010_2010-05-02",0,129.5
"28","SST","SST13",2010,2010-05-02,2010-05-17,15,"SST132010","spring","SST132010_2010-05-02",1,129.5
"29","SST","SST14",2010,2010-05-02,2010-05-17,15,"SST142010","spring","SST142010_2010-05-02",0,129.5
"30","SST","SST15",2010,2010-05-02,2010-05-17,15,"SST152010","spring","SST152010_2010-05-02",0,129.5
"31","SST","SST16",2010,2010-05-02,2010-05-17,15,"SST162010","spring","SST162010_2010-05-02",0,129.5
"32","FBG","FBG01",2010,2010-05-17,2010-05-24,7,"FBG012010","spring","FBG012010_2010-05-17",0,140.5
"33","FBG","FBG02",2010,2010-05-17,2010-05-24,7,"FBG022010","spring","FBG022010_2010-05-17",0,140.5
"34","FBG","FBG03",2010,2010-05-17,2010-05-24,7,"FBG032010","spring","FBG032010_2010-05-17",0,140.5
"35","FBG","FBG04",2010,2010-05-17,2010-05-24,7,"FBG042010","spring","FBG042010_2010-05-17",0,140.5
"36","FBG","FBG05",2010,2010-05-17,2010-05-24,7,"FBG052010","spring","FBG052010_2010-05-17",0,140.5
"37","FBG","FBG06",2010,2010-05-17,2010-05-24,7,"FBG062010","spring","FBG062010_2010-05-17",0,140.5
"38","FBG","FBG07",2010,2010-05-17,2010-05-24,7,"FBG072010","spring","FBG072010_2010-05-17",1,140.5
"39","FBG","FBG08",2010,2010-05-17,2010-05-24,7,"FBG082010","spring","FBG082010_2010-05-17",0,140.5
"40","FBG","FBG09",2010,2010-05-17,2010-05-24,7,"FBG092010","spring","FBG092010_2010-05-17",0,140.5
"41","FBG","FBG10",2010,2010-05-17,2010-05-24,7,"FBG102010","spring","FBG102010_2010-05-17",0,140.5
"42","FBG","FBG11",2010,2010-05-17,2010-05-24,7,"FBG112010","spring","FBG112010_2010-05-17",1,140.5
"43","FBG","FBG12",2010,2010-05-17,2010-05-24,7,"FBG122010","spring","FBG122010_2010-05-17",0,140.5
"44","FBG","FBG13",2010,2010-05-17,2010-05-24,7,"FBG132010","spring","FBG132010_2010-05-17",1,140.5
"45","FBG","FBG14",2010,2010-05-17,2010-05-24,7,"FBG142010","spring","FBG142010_2010-05-17",1,140.5
"46","FBG","FBG15",2010,2010-05-17,2010-05-24,7,"FBG152010","spring","FBG152010_2010-05-17",0,140.5
"47","FBG","FBG16",2010,2010-05-17,2010-05-24,7,"FBG162010","spring","FBG162010_2010-05-17",0,140.5
"48","SST","SST01",2010,2010-05-17,2010-05-24,7,"SST012010","spring","SST012010_2010-05-17",0,140.5
"49","SST","SST02",2010,2010-05-17,2010-05-24,7,"SST022010","spring","SST022010_2010-05-17",0,140.5
"50","SST","SST03",2010,2010-05-17,2010-05-24,7,"SST032010","spring","SST032010_2010-05-17",0,140.5
"51","SST","SST04",2010,2010-05-17,2010-05-24,7,"SST042010","spring","SST042010_2010-05-17",0,140.5
"52","SST","SST05",2010,2010-05-17,2010-05-24,7,"SST052010","spring","SST052010_2010-05-17",0,140.5
"53","SST","SST06",2010,2010-05-17,2010-05-24,7,"SST062010","spring","SST062010_2010-05-17",0,140.5
"54","SST","SST07",2010,2010-05-17,2010-05-24,7,"SST072010","spring","SST072010_2010-05-17",0,140.5
"55","SST","SST08",2010,2010-05-17,2010-05-24,7,"SST082010","spring","SST082010_2010-05-17",0,140.5
"56","SST","SST09",2010,2010-05-17,2010-05-24,7,"SST092010","spring","SST092010_2010-05-17",0,140.5
"57","SST","SST10",2010,2010-05-17,2010-05-24,7,"SST102010","spring","SST102010_2010-05-17",0,140.5
"58","SST","SST11",2010,2010-05-17,2010-05-24,7,"SST112010","spring","SST112010_2010-05-17",0,140.5
"59","SST","SST12",2010,2010-05-17,2010-05-24,7,"SST122010","spring","SST122010_2010-05-17",1,140.5
"60","SST","SST13",2010,2010-05-17,2010-05-24,7,"SST132010","spring","SST132010_2010-05-17",0,140.5
