"location","site","year","season","abundance","richness","exposure_days"
"FBG","FBG01",2010,"spring",134,9,36
"FBG","FBG02",2010,"spring",156,10,36
"FBG","FBG03",2010,"spring",46,5,36
"FBG","FBG04",2010,"spring",94,6,36
"FBG","FBG05",2010,"spring",124,9,36
"FBG","FBG06",2010,"spring",143,9,36
"FBG","FBG07",2010,"spring",177,14,36
"FBG","FBG08",2010,"spring",42,4,36
"FBG","FBG09",2010,"spring",164,9,36
"FBG","FBG10",2010,"spring",122,9,36
"FBG","FBG11",2010,"spring",213,10,36
"FBG","FBG12",2010,"spring",31,4,36
"FBG","FBG13",2010,"spring",215,12,36
"FBG","FBG14",2010,"spring",83,8,36
"FBG","FBG15",2010,"spring",45,6,36
"FBG","FBG16",2010,"spring",124,9,36
"GFH","GFH01",2010,"spring",10,3,36
"GFH","GFH02",2010,"spring",39,5,36
"GFH","GFH03",2010,"spring",38,5,36
"GFH","GFH04",2010,"spring",13,2,22
"GFH","GFH05",2010,"spring",48,6,36
"GFH","GFH06",2010,"spring",6,2,36
"GFH","GFH07",2010,"spring",28,4,36
"GFH","GFH08",2010,"spring",28,4,36
"GFH","GFH09",2010,"spring",11,2,36
"GFH","GFH10",2010,"spring",33,4,36
"GFH","GFH11",2010,"spring",54,6,36
"GFH","GFH12",2010,"spring",23,3,36
"GFH","GFH13",2010,"spring",21,3,36
"GFH","GFH14",2010,"spring",51,4,36
"GFH","GFH15",2010,"spring",33,5,36
"GFH","GFH16",2010,"spring",53,6,36
"HAR","HAR01",2010,"spring",34,5,28
"HAR","HAR02",2010,"spring",59,7,28
"HAR","HAR03",2010,"spring",31,4,28
"HAR","HAR04",2010,"spring",34,4,28
"HAR","HAR05",2010,"spring",56,5,14
"HAR","HAR06",2010,"spring",94,8,28
"HAR","HAR07",2010,"spring",66,8,28
"HAR","HAR08",2010,"spring",19,2,28
"HAR","HAR09",2010,"spring",77,6,28
"HAR","HAR10",2010,"spring",110,9,28
"HAR","HAR11",2010,"spring",69,8,28
"HAR","HAR12",2010,"spring",37,3,28
"HAR","HAR13",2010,"spring",19,3,28
"HAR","HAR14",2010,"spring",46,6,28
"HAR","HAR15",2010,"spring",62,7,28
"HAR","HAR16",2010,"spring",71,8,28
"SIP","SIP01",2010,"spring",68,7,36
"SIP","SIP02",2010,"spring",34,6,36
"SIP","SIP03",2010,"spring",15,3,36
"SIP","SIP05",2010,"spring",26,7,36
"SIP","SIP06",2010,"spring",56,6,36
"SIP","SIP07",2010,"spring",29,5,36
"SIP","SIP08",2010,"spring",21,3,36
