"","landscape","site","year","StartDate","EndDate","QC","exposure","uniqueID","season","sample_ID","honey.bee.abund","mean.sampling.date","richness","total.abundance"
"1","FBG","FBG01",2010,2010-05-02,2010-05-17,0,15,"FBG012010","spring","FBG012010_2010-05-02",0,129.5,25,80
"2","FBG","FBG02",2010,2010-05-02,2010-05-17,0,15,"FBG022010","spring","FBG022010_2010-05-02",1,129.5,20,78
"3","FBG","FBG03",2010,2010-05-02,2010-05-17,0,15,"FBG032010","spring","FBG032010_2010-05-02",0,129.5,9,28
"4","FBG","FBG04",2010,2010-05-02,2010-05-17,0,15,"FBG042010","spring","FBG042010_2010-05-02",0,129.5,6,28
"5","FBG","FBG05",2010,2010-05-02,2010-05-17,0,15,"FBG052010","spring","FBG052010_2010-05-02",0,129.5,19,70
"6","FBG","FBG06",2010,2010-05-02,2010-05-17,0,15,"FBG062010","spring","FBG062010_2010-05-02",0,129.5,15,45
"7","FBG","FBG07",2010,2010-05-02,2010-05-17,0,15,"FBG072010","spring","FBG072010_2010-05-02",0,129.5,21,67
"8","FBG","FBG08",2010,2010-05-02,2010-05-17,0,15,"FBG082010","spring","FBG082010_2010-05-02",1,129.5,7,12
"9","FBG","FBG09",2010,2010-05-02,2010-05-17,0,15,"FBG092010","spring","FBG092010_2010-05-02",0,129.5,22,74
"10","FBG","FBG10",2010,2010-05-02,2010-05-17,0,15,"FBG102010","spring","FBG102010_2010-05-02",0,129.5,20,76
"11","FBG","FBG11",2010,2010-05-02,2010-05-17,0,15,"FBG112010","spring","FBG112010_2010-05-02",2,129.5,17,63
"12","FBG","FBG12",2010,2010-05-02,2010-05-17,0,15,"FBG122010","spring","FBG122010_2010-05-02",0,129.5,12,18
"13","FBG","FBG13",2010,2010-05-02,2010-05-17,0,15,"FBG132010","spring","FBG132010_2010-05-02",0,129.5,19,95
"14","FBG","FBG14",2010,2010-05-02,2010-05-17,0,15,"FBG142010","spring","FBG142010_2010-05-02",0,129.5,15,33
"15","FBG","FBG15",2010,2010-05-02,2010-05-17,0,15,"FBG152010","spring","FBG152010_2010-05-02",0,129.5,7,11
"16","FBG","FBG16",2010,2010-05-02,2010-05-17,0,15,"FBG162010","spring","FBG162010_2010-05-02",0,129.5,24,63
"17","SST","SST01",2010,2010-05-02,2010-05-17,0,15,"SST012010","spring","SST012010_2010-05-02",0,129.5,13,40
"18","SST","SST02",2010,2010-05-02,2010-05-17,0,15,"SST022010","spring","SST022010_2010-05-02",0,129.5,7,20
"19","SST","SST03",2010,2010-05-02,2010-05-17,0,15,"SST032010","spring","SST032010_2010-05-02",0,129.5,2,4
"20","SST","SST04",2010,2010-05-02,2010-05-17,0,15,"SST042010","spring","SST042010_2010-05-02",0,129.5,6,11
"21","SST","SST05",2010,2010-05-02,2010-05-17,0,15,"SST052010","spring","SST052010_2010-05-02",0,129.5,12,37
"22","SST","SST06",2010,2010-05-02,2010-05-17,0,15,"SST062010","spring","SST062010_2010-05-02",0,129.5,20,155
"23","SST","SST07",2010,2010-05-02,2010-05-17,0,15,"SST072010","spring","SST072010_2010-05-02",0,129.5,8,33
"24","SST","SST08",2010,2010-05-02,2010-05-17,0,15,"SST082010","spring","SST082010_2010-05-02",0,129.5,12,29
"25","SST","SST09",2010,2010-05-02,2010-05-17,0,15,"SST092010","spring","SST092010_2010-05-02",0,129.5,19,260
"26","SST","SST10",2010,2010-05-02,2010-05-17,0,15,"SST102010","spring","SST102010_2010-05-02",0,129.5,8,38
"27","SST","SST11",2010,2010-05-02,2010-05-17,0,15,"SST112010","spring","SST112010_2010-05-02",0,129.5,6,39
"28","SST","SST13",2010,2010-05-02,2010-05-17,0,15,"SST132010","spring","SST132010_2010-05-02",1,129.5,28,314
"29","SST","SST14",2010,2010-05-02,2010-05-17,0,15,"SST142010","spring","SST142010_2010-05-02",0,129.5,7,39
"30","SST","SST15",2010,2010-05-02,2010-05-17,0,15,"SST152010","spring","SST152010_2010-05-02",0,129.5,12,69
"31","SST","SST16",2010,2010-05-02,2010-05-17,0,15,"SST162010","spring","SST162010_2010-05-02",0,129.5,9,65
"32","FBG","FBG01",2010,2010-05-17,2010-05-24,0,7,"FBG012010","spring","FBG012010_2010-05-17",0,140.5,13,29
"33","FBG","FBG02",2010,2010-05-17,2010-05-24,0,7,"FBG022010","spring","FBG022010_2010-05-17",0,140.5,17,21
"34","FBG","FBG04",2010,2010-05-17,2010-05-24,0,7,"FBG042010","spring","FBG042010_2010-05-17",0,140.5,7,32
"35","FBG","FBG07",2010,2010-05-17,2010-05-24,0,7,"FBG072010","spring","FBG072010_2010-05-17",1,140.5,5,8
"36","FBG","FBG08",2010,2010-05-17,2010-05-24,0,7,"FBG082010","spring","FBG082010_2010-05-17",0,140.5,7,13
"37","FBG","FBG09",2010,2010-05-17,2010-05-24,0,7,"FBG092010","spring","FBG092010_2010-05-17",0,140.5,26,42
"38","FBG","FBG10",2010,2010-05-17,2010-05-24,0,7,"FBG102010","spring","FBG102010_2010-05-17",0,140.5,15,20
"39","FBG","FBG11",2010,2010-05-17,2010-05-24,0,7,"FBG112010","spring","FBG112010_2010-05-17",1,140.5,9,68
"40","FBG","FBG12",2010,2010-05-17,2010-05-24,0,7,"FBG122010","spring","FBG122010_2010-05-17",0,140.5,4,4
"41","FBG","FBG13",2010,2010-05-17,2010-05-24,0,7,"FBG132010","spring","FBG132010_2010-05-17",1,140.5,17,54
"42","FBG","FBG14",2010,2010-05-17,2010-05-24,0,7,"FBG142010","spring","FBG142010_2010-05-17",1,140.5,7,18
"43","FBG","FBG15",2010,2010-05-17,2010-05-24,0,7,"FBG152010","spring","FBG152010_2010-05-17",0,140.5,3,4
"44","FBG","FBG16",2010,2010-05-17,2010-05-24,0,7,"FBG162010","spring","FBG162010_2010-05-17",0,140.5,11,20
"45","SST","SST01",2010,2010-05-17,2010-05-24,0,7,"SST012010","spring","SST012010_2010-05-17",0,140.5,3,3
"46","SST","SST02",2010,2010-05-17,2010-05-24,0,7,"SST022010","spring","SST022010_2010-05-17",0,140.5,5,5
"47","SST","SST03",2010,2010-05-17,2010-05-24,0,7,"SST032010","spring","SST032010_2010-05-17",0,140.5,3,3
"48","SST","SST04",2010,2010-05-17,2010-05-24,0,7,"SST042010","spring","SST042010_2010-05-17",0,140.5,3,7
"49","SST","SST05",2010,2010-05-17,2010-05-24,0,7,"SST052010","spring","SST052010_2010-05-17",0,140.5,8,17
"50","SST","SST06",2010,2010-05-17,2010-05-24,0,7,"SST062010","spring","SST062010_2010-05-17",0,140.5,7,10
"51","SST","SST07",2010,2010-05-17,2010-05-24,0,7,"SST072010","spring","SST072010_2010-05-17",0,140.5,3,5
"52","SST","SST08",2010,2010-05-17,2010-05-24,0,7,"SST082010","spring","SST082010_2010-05-17",0,140.5,12,20
"53","SST","SST09",2010,2010-05-17,2010-05-24,0,7,"SST092010","spring","SST092010_2010-05-17",0,140.5,7,26
"54","SST","SST10",2010,2010-05-17,2010-05-24,0,7,"SST102010","spring","SST102010_2010-05-17",0,140.5,5,17
"55","SST","SST11",2010,2010-05-17,2010-05-24,0,7,"SST112010","spring","SST112010_2010-05-17",0,140.5,8,18
"56","SST","SST12",2010,2010-05-17,2010-05-24,0,7,"SST122010","spring","SST122010_2010-05-17",1,140.5,3,11
"57","SST","SST13",2010,2010-05-17,2010-05-24,0,7,"SST132010","spring","SST132010_2010-05-17",0,140.5,10,49
"58","SST","SST14",2010,2010-05-17,2010-05-24,0,7,"SST142010","spring","SST142010_2010-05-17",0,140.5,6,10
"59","SST","SST15",2010,2010-05-17,2010-05-24,0,7,"SST152010","spring","SST152010_2010-05-17",0,140.5,8,21
"60","SST","SST16",2010,2010-05-17,2010-05-24,0,7,"SST162010","spring","SST162010_2010-05-17",0,140.5,11,29
"61","WAN","WAN01",2010,2010-05-03,2010-05-25,0,22,"WAN012010","spring","WAN012010_2010-05-03",0,134,12,38
"62","WAN","WAN02",2010,2010-05-03,2010-05-25,0,22,"WAN022010","spring","WAN022010_2010-05-03",0,134,13,43
"63","WAN","WAN03",2010,2010-05-03,2010-05-25,0,22,"WAN032010","spring","WAN032010_2010-05-03",0,134,12,21
"64","WAN","WAN04",2010,2010-05-03,2010-05-25,0,22,"WAN042010","spring","WAN042010_2010-05-03",0,134,6,22
"65","WAN","WAN05",2010,2010-05-03,2010-05-25,0,22,"WAN052010","spring","WAN052010_2010-05-03",0,134,6,39
"66","WAN","WAN06",2010,2010-05-03,2010-05-25,0,22,"WAN062010","spring","WAN062010_2010-05-03",0,134,14,40
"67","WAN","WAN07",2010,2010-05-03,2010-05-25,0,22,"WAN072010","spring","WAN072010_2010-05-03",0,134,8,11
"68","WAN","WAN09",2010,2010-05-03,2010-05-25,0,22,"WAN092010","spring","WAN092010_2010-05-03",0,134,22,160
"69","WAN","WAN10",2010,2010-05-03,2010-05-25,0,22,"WAN102010","spring","WAN102010_2010-05-03",0,134,9,42
"70","WAN","WAN12",2010,2010-05-03,2010-05-25,0,22,"WAN122010","spring","WAN122010_2010-05-03",0,134,18,48
"71","WAN","WAN14",2010,2010-05-03,2010-05-25,0,22,"WAN142010","spring","WAN142010_2010-05-03",0,134,10,20
"72","WAN","WAN15",2010,2010-05-03,2010-05-25,0,22,"WAN152010","spring","WAN152010_2010-05-03",1,134,13,37
"73","WAN","WAN16",2010,2010-05-03,2010-05-25,0,22,"WAN162010","spring","WAN162010_2010-05-03",0,134,28,91
"74","HAR","HAR01",2010,2010-05-11,2010-05-25,0,14,"HAR012010","spring","HAR012010_2010-05-11",0,138,13,22
"75","HAR","HAR02",2010,2010-05-11,2010-05-25,0,14,"HAR022010","spring","HAR022010_2010-05-11",0,138,11,23
"76","HAR","HAR04",2010,2010-05-11,2010-05-25,0,14,"HAR042010","spring","HAR042010_2010-05-11",1,138,6,18
"77","HAR","HAR06",2010,2010-05-11,2010-05-25,0,14,"HAR062010","spring","HAR062010_2010-05-11",4,138,18,41
"78","HAR","HAR08",2010,2010-05-11,2010-05-25,0,14,"HAR082010","spring","HAR082010_2010-05-11",0,138,3,10
"79","HAR","HAR10",2010,2010-05-11,2010-05-25,0,14,"HAR102010","spring","HAR102010_2010-05-11",1,138,17,43
"80","HAR","HAR11",2010,2010-05-11,2010-05-25,0,14,"HAR112010","spring","HAR112010_2010-05-11",0,138,18,44
"81","HAR","HAR12",2010,2010-05-11,2010-05-25,0,14,"HAR122010","spring","HAR122010_2010-05-11",0,138,6,23
"82","HAR","HAR15",2010,2010-05-11,2010-05-25,0,14,"HAR152010","spring","HAR152010_2010-05-11",6,138,12,23
"83","HAR","HAR16",2010,2010-05-11,2010-05-25,0,14,"HAR162010","spring","HAR162010_2010-05-11",3,138,14,29
"84","GFH","GFH02",2010,2010-05-04,2010-05-26,0,22,"GFH022010","spring","GFH022010_2010-05-04",2,135,5,27
"85","GFH","GFH03",2010,2010-05-04,2010-05-26,0,22,"GFH032010","spring","GFH032010_2010-05-04",0,135,16,31
"86","GFH","GFH04",2010,2010-05-04,2010-05-26,0,22,"GFH042010","spring","GFH042010_2010-05-04",3,135,8,10
