"","LocTrap","year","season"
"1","FBG01",2010,"spring"
"2","FBG01",2010,"summer"
"3","FBG02",2010,"spring"
"4","FBG02",2010,"summer"
"5","FBG03",2010,"spring"
"6","FBG03",2010,"summer"
"7","FBG04",2010,"spring"
"8","FBG04",2010,"summer"
"9","FBG05",2010,"spring"
"10","FBG05",2010,"summer"
"11","FBG06",2010,"spring"
"12","FBG06",2010,"summer"
"13","FBG07",2010,"spring"
"14","FBG07",2010,"summer"
"15","FBG08",2010,"spring"
"16","FBG08",2010,"summer"
"17","FBG09",2010,"spring"
"18","FBG09",2010,"summer"
"19","FBG10",2010,"spring"
"20","FBG10",2010,"summer"
"21","FBG11",2010,"spring"
"22","FBG11",2010,"summer"
"23","FBG12",2010,"spring"
"24","FBG12",2010,"summer"
"25","FBG13",2010,"spring"
"26","FBG13",2010,"summer"
"27","FBG14",2010,"spring"
"28","FBG14",2010,"summer"
"29","FBG15",2010,"spring"
"30","FBG15",2010,"summer"
"31","FBG16",2010,"spring"
"32","FBG16",2010,"summer"
"33","GFH01",2010,"spring"
"34","GFH01",2010,"summer"
"35","GFH02",2010,"spring"
"36","GFH02",2010,"summer"
"37","GFH03",2010,"spring"
"38","GFH03",2010,"summer"
"39","GFH04",2010,"spring"
"40","GFH04",2010,"summer"
"41","GFH05",2010,"spring"
"42","GFH05",2010,"summer"
"43","GFH06",2010,"spring"
"44","GFH06",2010,"summer"
"45","GFH07",2010,"spring"
"46","GFH07",2010,"summer"
"47","GFH08",2010,"spring"
"48","GFH08",2010,"summer"
"49","GFH09",2010,"spring"
"50","GFH09",2010,"summer"
"51","GFH10",2010,"spring"
"52","GFH10",2010,"summer"
"53","GFH11",2010,"spring"
"54","GFH11",2010,"summer"
"55","GFH12",2010,"spring"
"56","GFH12",2010,"summer"
"57","GFH13",2010,"spring"
"58","GFH13",2010,"summer"
"59","GFH14",2010,"spring"
"60","GFH14",2010,"summer"
"61","GFH15",2010,"spring"
"62","GFH15",2010,"summer"
"63","GFH16",2010,"spring"
"64","GFH16",2010,"summer"
"65","HAR01",2010,"spring"
"66","HAR01",2010,"summer"
"67","HAR02",2010,"spring"
"68","HAR02",2010,"summer"
"69","HAR03",2010,"spring"
"70","HAR03",2010,"summer"
"71","HAR04",2010,"spring"
"72","HAR04",2010,"summer"
"73","HAR05",2010,"spring"
"74","HAR05",2010,"summer"
"75","HAR06",2010,"spring"
"76","HAR06",2010,"summer"
"77","HAR07",2010,"spring"
"78","HAR07",2010,"summer"
"79","HAR08",2010,"spring"
"80","HAR08",2010,"summer"
"81","HAR09",2010,"spring"
"82","HAR09",2010,"summer"
"83","HAR10",2010,"spring"
"84","HAR10",2010,"summer"
"85","HAR11",2010,"spring"
"86","HAR11",2010,"summer"
"87","HAR12",2010,"spring"
"88","HAR12",2010,"summer"
"89","HAR13",2010,"spring"
"90","HAR13",2010,"summer"
"91","HAR14",2010,"spring"
"92","HAR14",2010,"summer"
"93","HAR15",2010,"spring"
"94","HAR15",2010,"summer"
"95","HAR16",2010,"spring"
"96","HAR16",2010,"summer"
"97","SIP01",2010,"spring"
"98","SIP01",2010,"summer"
"99","SIP02",2010,"spring"
"100","SIP02",2010,"summer"
"101","SIP03",2010,"spring"
"102","SIP03",2010,"summer"
"103","SIP05",2010,"spring"
"104","SIP05",2010,"summer"
"105","SIP06",2010,"spring"
"106","SIP06",2010,"summer"
"107","SIP07",2010,"spring"
"108","SIP07",2010,"summer"
"109","SIP08",2010,"spring"
"110","SIP08",2010,"summer"
"111","SIP09",2010,"spring"
"112","SIP09",2010,"summer"
"113","SIP10",2010,"spring"
"114","SIP10",2010,"summer"
"115","SIP11",2010,"spring"
"116","SIP11",2010,"summer"
"117","SIP12",2010,"spring"
"118","SIP12",2010,"summer"
"119","SIP13",2010,"spring"
"120","SIP13",2010,"summer"
"121","SIP14",2010,"spring"
"122","SIP14",2010,"summer"
"123","SIP15",2010,"spring"
"124","SIP15",2010,"summer"
"125","SIP16",2010,"spring"
"126","SIP16",2010,"summer"
"127","SST01",2010,"spring"
"128","SST01",2010,"summer"
"129","SST02",2010,"spring"
"130","SST02",2010,"summer"
"131","SST03",2010,"spring"
"132","SST03",2010,"summer"
"133","SST04",2010,"spring"
"134","SST04",2010,"summer"
"135","SST05",2010,"spring"
"136","SST05",2010,"summer"
"137","SST06",2010,"spring"
"138","SST06",2010,"summer"
"139","SST07",2010,"spring"
"140","SST07",2010,"summer"
"141","SST08",2010,"spring"
"142","SST08",2010,"summer"
"143","SST09",2010,"spring"
"144","SST09",2010,"summer"
"145","SST10",2010,"spring"
"146","SST10",2010,"summer"
"147","SST11",2010,"spring"
"148","SST11",2010,"summer"
"149","SST12",2010,"spring"
"150","SST12",2010,"summer"
"151","SST13",2010,"spring"
"152","SST13",2010,"summer"
"153","SST14",2010,"spring"
"154","SST14",2010,"summer"
"155","SST15",2010,"spring"
"156","SST15",2010,"summer"
"157","SST16",2010,"spring"
"158","SST16",2010,"summer"
"159","WAN01",2010,"spring"
"160","WAN01",2010,"summer"
"161","WAN02",2010,"spring"
"162","WAN02",2010,"summer"
"163","WAN03",2010,"spring"
"164","WAN03",2010,"summer"
"165","WAN04",2010,"spring"
"166","WAN04",2010,"summer"
"167","WAN05",2010,"spring"
"168","WAN05",2010,"summer"
"169","WAN06",2010,"spring"
"170","WAN06",2010,"summer"
"171","WAN07",2010,"spring"
"172","WAN07",2010,"summer"
"173","WAN08",2010,"spring"
"174","WAN08",2010,"summer"
"175","WAN09",2010,"spring"
"176","WAN09",2010,"summer"
"177","WAN10",2010,"spring"
"178","WAN10",2010,"summer"
"179","WAN11",2010,"spring"
"180","WAN11",2010,"summer"
"181","WAN12",2010,"spring"
"182","WAN12",2010,"summer"
"183","WAN13",2010,"spring"
"184","WAN13",2010,"summer"
"185","WAN14",2010,"spring"
"186","WAN14",2010,"summer"
"187","WAN15",2010,"spring"
"188","WAN15",2010,"summer"
"189","WAN16",2010,"spring"
"190","WAN16",2010,"summer"
"191","FBG01",2011,"spring"
"192","FBG01",2011,"summer"
"193","FBG02",2011,"spring"
"194","FBG02",2011,"summer"
"195","FBG03",2011,"spring"
"196","FBG03",2011,"summer"
"197","FBG04",2011,"spring"
"198","FBG04",2011,"summer"
"199","FBG05",2011,"spring"
"200","FBG05",2011,"summer"
"201","FBG06",2011,"spring"
"202","FBG06",2011,"summer"
"203","FBG07",2011,"spring"
"204","FBG07",2011,"summer"
"205","FBG08",2011,"spring"
"206","FBG08",2011,"summer"
"207","FBG09",2011,"spring"
"208","FBG09",2011,"summer"
"209","FBG10",2011,"spring"
"210","FBG10",2011,"summer"
"211","FBG11",2011,"spring"
"212","FBG11",2011,"summer"
"213","FBG12",2011,"spring"
"214","FBG12",2011,"summer"
"215","FBG13",2011,"spring"
"216","FBG13",2011,"summer"
"217","FBG14",2011,"spring"
"218","FBG14",2011,"summer"
"219","FBG15",2011,"spring"
"220","FBG15",2011,"summer"
"221","FBG16",2011,"spring"
"222","FBG16",2011,"summer"
"223","GFH01",2011,"spring"
"224","GFH01",2011,"summer"
"225","GFH02",2011,"spring"
"226","GFH02",2011,"summer"
