"","landscape","site","year","uniqueID","season","StartDate","EndDate","gap.start","gap.end","exposure","season.site.ID","richness","total.abundance"
"1","FBG","FBG01",2010,"FBG012010","spring",2010-05-02,2010-06-07,NA,NA,36,"FBG012010_spring",41,133
"2","FBG","FBG02",2010,"FBG022010","spring",2010-05-02,2010-06-07,NA,NA,36,"FBG022010_spring",45,150
"3","FBG","FBG03",2010,"FBG032010","spring",2010-05-02,2010-06-07,NA,NA,36,"FBG032010_spring",16,46
"4","FBG","FBG04",2010,"FBG042010","spring",2010-05-02,2010-06-07,NA,NA,36,"FBG042010_spring",17,94
"5","FBG","FBG05",2010,"FBG052010","spring",2010-05-02,2010-06-07,NA,NA,36,"FBG052010_spring",34,124
"6","FBG","FBG06",2010,"FBG062010","spring",2010-05-02,2010-06-07,NA,NA,36,"FBG062010_spring",31,142
"7","FBG","FBG07",2010,"FBG072010","spring",2010-05-02,2010-06-07,NA,NA,36,"FBG072010_spring",36,176
"8","FBG","FBG08",2010,"FBG082010","spring",2010-05-02,2010-06-07,NA,NA,36,"FBG082010_spring",19,40
"9","FBG","FBG09",2010,"FBG092010","spring",2010-05-02,2010-06-07,NA,NA,36,"FBG092010_spring",46,164
"10","FBG","FBG10",2010,"FBG102010","spring",2010-05-02,2010-06-07,NA,NA,36,"FBG102010_spring",35,122
"11","FBG","FBG11",2010,"FBG112010","spring",2010-05-02,2010-06-07,NA,NA,36,"FBG112010_spring",31,209
"12","FBG","FBG12",2010,"FBG122010","spring",2010-05-02,2010-06-07,NA,NA,36,"FBG122010_spring",19,30
"13","FBG","FBG13",2010,"FBG132010","spring",2010-05-02,2010-06-07,NA,NA,36,"FBG132010_spring",40,214
"14","FBG","FBG14",2010,"FBG142010","spring",2010-05-02,2010-06-07,NA,NA,36,"FBG142010_spring",30,82
"15","FBG","FBG15",2010,"FBG152010","spring",2010-05-02,2010-06-07,NA,NA,36,"FBG152010_spring",18,45
"16","FBG","FBG16",2010,"FBG162010","spring",2010-05-02,2010-06-07,NA,NA,36,"FBG162010_spring",39,123
"17","GFH","GFH01",2010,"GFH012010","spring",2010-05-04,2010-06-09,NA,NA,36,"GFH012010_spring",7,10
"18","GFH","GFH02",2010,"GFH022010","spring",2010-05-04,2010-06-09,NA,NA,36,"GFH022010_spring",9,37
"19","GFH","GFH03",2010,"GFH032010","spring",2010-05-04,2010-06-09,NA,NA,36,"GFH032010_spring",17,38
"20","GFH","GFH04",2010,"GFH042010","spring",2010-05-04,2010-05-26,NA,NA,22,"GFH042010_spring",8,10
"21","GFH","GFH05",2010,"GFH052010","spring",2010-05-04,2010-06-09,NA,NA,36,"GFH052010_spring",12,47
"22","GFH","GFH06",2010,"GFH062010","spring",2010-05-04,2010-06-09,NA,NA,36,"GFH062010_spring",4,6
"23","GFH","GFH07",2010,"GFH072010","spring",2010-05-04,2010-06-09,NA,NA,36,"GFH072010_spring",9,23
"24","GFH","GFH08",2010,"GFH082010","spring",2010-05-04,2010-06-09,NA,NA,36,"GFH082010_spring",15,28
"25","GFH","GFH09",2010,"GFH092010","spring",2010-05-04,2010-06-09,NA,NA,36,"GFH092010_spring",9,11
"26","GFH","GFH10",2010,"GFH102010","spring",2010-05-04,2010-06-09,NA,NA,36,"GFH102010_spring",18,32
"27","GFH","GFH11",2010,"GFH112010","spring",2010-05-04,2010-06-09,NA,NA,36,"GFH112010_spring",21,53
"28","GFH","GFH12",2010,"GFH122010","spring",2010-05-04,2010-06-09,NA,NA,36,"GFH122010_spring",16,19
"29","GFH","GFH13",2010,"GFH132010","spring",2010-05-04,2010-06-09,NA,NA,36,"GFH132010_spring",8,9
"30","GFH","GFH14",2010,"GFH142010","spring",2010-05-04,2010-06-09,NA,NA,36,"GFH142010_spring",28,50
"31","GFH","GFH15",2010,"GFH152010","spring",2010-05-04,2010-06-09,NA,NA,36,"GFH152010_spring",14,30
"32","GFH","GFH16",2010,"GFH162010","spring",2010-05-04,2010-06-09,NA,NA,36,"GFH162010_spring",23,52
"33","HAR","HAR01",2010,"HAR012010","spring",2010-05-11,2010-06-08,NA,NA,28,"HAR012010_spring",15,30
"34","HAR","HAR02",2010,"HAR022010","spring",2010-05-11,2010-06-08,NA,NA,28,"HAR022010_spring",18,57
"35","HAR","HAR03",2010,"HAR032010","spring",2010-05-11,2010-06-08,NA,NA,28,"HAR032010_spring",13,31
"36","HAR","HAR04",2010,"HAR042010","spring",2010-05-11,2010-06-08,NA,NA,28,"HAR042010_spring",15,31
"37","HAR","HAR05",2010,"HAR052010","spring",2010-05-25,2010-06-08,NA,NA,14,"HAR052010_spring",19,53
"38","HAR","HAR06",2010,"HAR062010","spring",2010-05-11,2010-06-08,NA,NA,28,"HAR062010_spring",24,66
"39","HAR","HAR07",2010,"HAR072010","spring",2010-05-11,2010-06-08,NA,NA,28,"HAR072010_spring",16,63
"40","HAR","HAR08",2010,"HAR082010","spring",2010-05-11,2010-06-08,NA,NA,28,"HAR082010_spring",6,18
"41","HAR","HAR09",2010,"HAR092010","spring",2010-05-11,2010-06-08,NA,NA,28,"HAR092010_spring",24,74
"42","HAR","HAR10",2010,"HAR102010","spring",2010-05-11,2010-06-08,NA,NA,28,"HAR102010_spring",23,104
