"","landscape","site","year","uniqueID","spring.start","spring.end","spring.gap.start","spring.gap.end","spring.exposure","summer.start","summer.end","summer.gap.start","summer.gap.end","summer.exposure","total.exposure","honey.bee.abund","richness","total.abundance"
"1","FBG","FBG01",2010,"FBG012010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,11,57,241
"2","FBG","FBG02",2010,"FBG022010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,22,54,173
"3","FBG","FBG03",2010,"FBG032010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,4,18,52
"4","FBG","FBG04",2010,"FBG042010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,2,26,111
"5","FBG","FBG05",2010,"FBG052010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,10,41,155
"6","FBG","FBG06",2010,"FBG062010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,7,42,192
"7","FBG","FBG07",2010,"FBG072010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,19,49,297
"8","FBG","FBG08",2010,"FBG082010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,6,30,119
"9","FBG","FBG09",2010,"FBG092010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,6,53,216
"10","FBG","FBG10",2010,"FBG102010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,8,42,174
"11","FBG","FBG11",2010,"FBG112010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,7,40,240
"12","FBG","FBG12",2010,"FBG122010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-08-16,NA,NA,14,50,1,20,31
"13","FBG","FBG13",2010,"FBG132010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,12,44,240
"14","FBG","FBG14",2010,"FBG142010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,2,33,90
"15","FBG","FBG15",2010,"FBG152010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,9,31,75
"16","FBG","FBG16",2010,"FBG162010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,10,48,148
